,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPD,XPF,XPT,YER,ZAR,ZMW,ZWL
2019-01-01,3.660576,74.662838,105.316279,,,,37.560254,1.420169,,,1.693031,1.951014,81.748021,1.695206,0.373271,1762.116071,0.993909,0.653876,6.711564,3.869486,0.990342,,,10.529888,,1.965109,1.361089,,0.985121,,679.36135,,6.850344,3192.551988,590.176629,,0.970156,95.945358,22.336118,173.479509,6.496302,49.734621,117.410598,17.847385,,27.855216,0.870095,2.116071,,0.785087,,,4.786218,,,8999.477595,7.526146,,7.829461,23.861481,6.445228,76.171583,278.955016,14321.761072,3.714261,,69.336988,1162.881754,,115.574698,,125.406769,0.701035,109.614548,99.869486,,3916.81902,,,1110.415035,0.301662,0.813017,380.361959,8308.187244,1500.9136,179.204733,,14.13034,1.358653,9.272601,16.818063,3434.177238,53.256765,1520.403724,,7.8647,,,32.898286,15.082224,754.085095,19.598016,4.115984,,14.13034,359.601497,31.900287,8.617245,109.762464,1.486557,0.382842,0.974767,3.365527,3.287653,52.221352,139.197773,3.739842,5830.157574,3.497607,4.043331,102.819107,69.54407,877.055599,3.738101,,12.746019,47.407117,8.819629,1.361959,,,541.634038,,,,,8.510398,,14.154703,32.208301,,,2.966936,,5.261376,6.645175,29.606717,2287.218307,27.350561,3657.704516,1.0,31.738449,8279.561646,62.359697,,22765.161403,,,570.747411,,,,,570.747411,,103.767511,,,14.312277,11.83938,
2019-01-02,3.670476,74.864771,105.601117,,,,37.583319,1.418688,,,1.697609,1.95629,81.969115,1.705898,0.37428,1766.881871,0.996597,0.661054,6.729716,3.879951,0.99302,,,10.558367,,1.970424,1.362066,,0.98194,,681.198744,,6.92907,3201.186529,591.772815,,0.97278,96.204851,22.435875,173.9487,6.512912,49.869133,117.728145,17.895655,,27.930553,0.872448,2.121794,,0.783895,,,4.799162,,,9023.817484,7.546501,,7.832577,23.926016,6.462659,76.377596,279.928459,14167.248299,3.574594,,69.969464,1166.026871,,116.175188,,126.103647,0.702931,109.657128,100.139592,,3927.412406,,,1113.418252,0.302478,0.815215,381.390682,8330.657477,1471.994416,179.689408,,14.168557,1.362328,9.297679,16.863549,3443.465277,53.400803,1524.515791,,7.885971,,,32.987262,15.142209,727.185482,19.626069,4.16341,,14.168557,360.574071,31.986564,8.644216,110.059326,1.489531,0.383877,0.977404,3.3933,3.296545,52.485605,139.827255,3.739749,5845.925755,3.507067,4.08393,103.097191,68.398709,879.427674,3.752661,,12.780492,47.535334,8.864858,1.362589,,,543.098936,,,,,8.533415,,14.192986,32.330309,,,2.893736,,5.284505,6.663148,29.686791,2312.249171,27.424533,3667.597103,1.0,31.824289,8301.954458,62.528355,,22826.731809,,,572.291049,,,,,572.291049,,104.048159,,,14.385884,11.871401,
2019-01-03,3.672115,75.720092,106.971196,,,,37.763739,1.445485,,,1.719208,1.977911,83.143665,1.721682,0.374536,1786.446369,1.007599,0.658332,6.804029,3.78627,1.004064,,,10.66973,,1.992136,1.362962,,0.988691,,692.118749,,6.853773,3236.614243,598.321258,,0.983389,97.428874,22.739972,175.870295,6.59666,50.083054,118.404312,17.899806,,28.085351,0.883548,2.13103,,0.798728,,,4.904135,,,9126.789362,7.629882,,7.833451,24.19067,6.557961,77.048065,284.704011,14474.288744,3.752606,,69.926665,1178.918537,,117.750486,,125.711256,0.704365,107.44036,100.441774,,3960.682276,,,1121.57625,0.302704,0.824174,385.615833,8422.24757,1511.751193,181.728221,,14.478706,1.378777,9.367379,16.952642,3483.566001,53.501502,1540.908288,,7.973847,,,32.938682,15.239442,704.550274,19.620958,4.157802,,14.478706,360.531896,32.34052,8.776551,111.919067,1.507333,0.383813,0.98816,3.381339,3.333009,52.337869,138.770101,3.797579,5907.139247,3.545768,4.111857,102.350239,69.002474,889.114685,3.746687,,12.765506,48.062379,9.037816,1.367291,,,549.125287,,,,,8.627849,,14.502562,32.256582,,,3.014932,,5.490369,6.743153,30.202333,2302.703658,27.728397,3713.288744,1.0,32.226542,8390.616717,63.323909,,23091.535607,,,579.572363,,,,,579.572363,,105.371974,,,14.577576,12.043647,
2019-01-04,3.673075,74.646651,106.206654,,,,37.445352,1.427355,,,1.708191,1.948995,82.03055,1.710737,0.374594,1760.688263,0.992977,0.656308,6.704416,3.75349,0.989553,,,10.629444,,1.963041,1.347731,,0.987183,,681.441489,,6.867176,3181.020104,590.088666,,0.969186,96.804495,22.506189,173.303485,6.555351,49.768238,118.216136,17.888684,,27.852691,0.877886,2.124835,,0.791765,,,4.782109,,,8994.468967,7.523396,,7.830305,23.850408,6.523571,76.405057,281.505575,14406.987973,3.724168,,70.049162,1161.70661,,117.127557,,126.19612,0.70345,107.79914,100.500395,,3935.65104,,,1123.869722,0.302607,0.812132,376.595558,8303.924151,1507.330349,179.036081,,14.273549,1.358616,9.274866,16.872092,3433.500219,53.775788,1518.479501,,7.856553,,,33.20165,15.204986,721.745237,19.613555,4.143973,,14.273549,359.292424,31.880432,8.690194,110.32394,1.494952,0.3839,0.973663,3.373189,3.284347,52.473005,138.591871,3.765341,5839.87376,3.493548,4.086472,103.845141,68.709508,876.279519,3.746642,,12.766219,47.368098,9.001317,1.364235,,,540.865596,,,,,8.500571,,14.299008,32.178035,,,2.988149,,5.466157,6.619173,29.9087,2295.847599,27.109999,3669.3005,1.0,31.757528,8269.335089,62.918093,,22750.416996,,,575.858134,,,,,575.858134,,104.69669,,,14.316127,11.904135,
2019-01-05,3.673075,74.646651,106.206654,,,,37.445352,1.427355,,,1.708191,1.948995,82.03055,1.710737,0.374594,1760.688263,0.992977,0.656308,6.704416,3.75349,0.989553,,,10.629444,,1.963041,1.347731,,0.987183,,681.441489,,6.867176,3181.020104,590.088666,,0.969186,96.804495,22.506189,173.303485,6.555351,49.768238,118.216136,17.888684,,27.852691,0.877886,2.124835,,0.791765,,,4.782109,,,8994.468967,7.523396,,7.830305,23.850408,6.523571,76.405057,281.505575,14406.987973,3.724168,,70.049162,1161.70661,,117.127557,,126.19612,0.70345,107.79914,100.500395,,3935.65104,,,1123.869722,0.302607,0.812132,376.595558,8303.924151,1507.330349,179.036081,,14.273549,1.358616,9.274866,16.872092,3433.500219,53.775788,1518.479501,,7.856553,,,33.20165,15.204986,721.745237,19.613555,4.143973,,14.273549,359.292424,31.880432,8.690194,110.32394,1.494952,0.3839,0.973663,3.373189,3.284347,52.473005,138.591871,3.765341,5839.87376,3.493548,4.086472,103.845141,68.709508,876.279519,3.746642,,12.766219,47.368098,9.001317,1.364235,,,540.865596,,,,,8.500571,,14.299008,32.178035,,,2.988149,,5.466157,6.619173,29.9087,2295.847599,27.109999,3669.3005,1.0,31.757528,8269.335089,62.918093,,22750.416996,,,575.858134,,,,,575.858134,,104.69669,,,14.316127,11.904135,
2019-01-06,3.673075,74.646651,106.206654,,,,37.445352,1.427355,,,1.708191,1.948995,82.03055,1.710737,0.374594,1760.688263,0.992977,0.656308,6.704416,3.75349,0.989553,,,10.629444,,1.963041,1.347731,,0.987183,,681.441489,,6.867176,3181.020104,590.088666,,0.969186,96.804495,22.506189,173.303485,6.555351,49.768238,118.216136,17.888684,,27.852691,0.877886,2.124835,,0.791765,,,4.782109,,,8994.468967,7.523396,,7.830305,23.850408,6.523571,76.405057,281.505575,14406.987973,3.724168,,70.049162,1161.70661,,117.127557,,126.19612,0.70345,107.79914,100.500395,,3935.65104,,,1123.869722,0.302607,0.812132,376.595558,8303.924151,1507.330349,179.036081,,14.273549,1.358616,9.274866,16.872092,3433.500219,53.775788,1518.479501,,7.856553,,,33.20165,15.204986,721.745237,19.613555,4.143973,,14.273549,359.292424,31.880432,8.690194,110.32394,1.494952,0.3839,0.973663,3.373189,3.284347,52.473005,138.591871,3.765341,5839.87376,3.493548,4.086472,103.845141,68.709508,876.279519,3.746642,,12.766219,47.368098,9.001317,1.364235,,,540.865596,,,,,8.500571,,14.299008,32.178035,,,2.988149,,5.466157,6.619173,29.9087,2295.847599,27.109999,3669.3005,1.0,31.757528,8269.335089,62.918093,,22750.416996,,,575.858134,,,,,575.858134,,104.69669,,,14.316127,11.904135,
2019-01-07,3.666258,74.986854,106.126205,,,,37.305872,1.403681,,,1.705346,1.958107,82.271691,1.707537,0.373883,1768.886941,0.997546,0.656004,6.735933,3.707274,0.99404,,,10.477651,,1.972217,1.336897,,0.985714,,677.256792,,6.851709,3201.227082,592.331288,,0.973707,96.643295,22.399825,174.110429,6.543821,49.717791,117.817704,17.865031,,27.98773,0.876424,2.121998,,0.785188,,,4.803944,,,9037.68624,7.55355,,7.832165,23.961437,6.516214,76.77213,280.957055,14259.42156,3.708501,,69.410167,1167.134093,,117.318142,,126.064855,0.702805,108.51972,100.166521,,3931.551183,,,1114.110429,0.302103,0.815951,373.418054,8341.367222,1505.696757,179.71078,,13.900964,1.364943,9.249781,16.924628,3457.756354,53.676599,1525.503944,,7.894829,,,33.05872,15.134969,703.049956,19.393777,4.118931,,13.900964,360.92901,32.027169,8.605609,109.877301,1.482822,0.383173,0.978265,3.351709,3.299649,52.27695,137.835232,3.76021,5874.233129,3.510692,4.083874,103.619632,67.541367,880.368098,3.742594,,12.751096,47.585451,8.953374,1.358633,,,543.558282,,,,,8.54163,,13.928133,31.898335,,,3.016564,,5.319895,6.646713,29.967572,2294.82901,27.536372,3686.24014,1.0,31.934268,8304.470114,62.813322,,22852.760736,,,574.899211,,,,,574.899211,,104.522349,,,13.990096,11.933392,
2019-01-08,3.670645,74.843206,105.54878,,,,37.294425,1.399652,,,1.694948,1.941202,82.069686,1.697125,0.37439,1762.630662,0.993902,0.655401,6.712108,3.731794,0.990505,,,10.362369,,1.965244,1.32953,,0.979181,,662.804878,,6.841725,3138.675958,590.235192,,0.970383,96.054007,22.264024,173.493031,6.504443,49.520906,117.61324,17.894599,,27.865854,0.87108,2.122735,,0.782056,,,4.866463,,,9005.400871,7.526829,,7.834582,23.876307,6.464634,76.498258,279.452962,14076.655052,3.699129,,69.730836,1162.979094,,117.491289,,126.315331,0.702962,108.58885,100.095819,,3918.641202,,,1116.027875,0.302178,0.812979,372.081882,8311.41115,1506.968641,178.580139,,13.659408,1.358972,9.218641,16.819686,3451.916376,53.743031,1517.073171,,7.868902,,,32.787456,15.190767,703.214286,19.363066,4.109669,,13.659408,361.385017,31.932927,8.525174,109.329268,1.480575,0.383624,0.974739,3.344512,3.288502,52.29007,138.47561,3.740767,5885.540157,3.497909,4.055575,103.754355,66.786585,878.04878,3.746429,,12.772648,47.412021,8.89007,1.355488,,,541.637631,,,,,8.510453,,13.68554,31.906794,,,2.987718,,5.379965,6.633101,29.855401,2292.595732,27.448606,3678.048693,1.0,31.841463,8275.086934,62.430314,,22770.905923,,,571.393728,,,,,571.393728,,103.885017,,,13.870645,11.810976,
2019-01-09,3.669344,75.087291,106.110335,,,,37.541899,1.396037,,,1.698499,1.949633,82.42493,1.700768,0.374214,1770.513268,0.998167,0.655377,6.741271,3.709672,0.994763,,,10.429469,,1.973726,1.324808,,0.980622,,668.051676,,6.84148,3140.537709,592.292249,,0.975035,96.255237,22.368802,174.249302,6.517458,49.793994,117.667598,17.905028,,27.915503,0.872905,2.117406,,0.785003,,,4.828561,,,9045.128841,7.557001,,7.8386,23.979574,6.482804,76.876746,280.520251,14130.586592,3.690206,,70.067214,1168.034218,,118.505587,,126.553771,0.702776,108.771823,100.061103,,3926.065119,,,1120.810056,0.302025,0.816515,372.878841,8347.503841,1504.888268,179.696229,,13.791027,1.362605,9.228352,17.012919,3491.881983,53.344099,1519.11662,,7.90625,,,32.978352,15.222591,713.800628,19.338251,4.103614,,13.791027,363.442737,32.075768,8.532909,110.850209,1.483502,0.383554,0.978963,3.345234,3.302811,52.300978,138.425279,3.749651,5891.236034,3.513181,4.070705,103.203561,66.943087,882.070531,3.747119,,12.774965,47.615223,8.908694,1.357018,,,544.081704,,,,,8.547486,,13.818087,31.970147,,,2.995461,,5.47617,6.646561,30.003492,2292.423184,27.782821,3698.847678,1.0,32.019029,8313.547486,62.561103,,22869.238827,,,572.590782,,,,,572.590782,,104.102654,,,13.95522,11.891585,
2019-01-10,3.669407,74.383384,105.581999,,,,37.355257,1.393509,,,1.683946,1.931285,81.650368,1.686023,0.37421,1754.045868,0.988923,0.654176,6.677888,3.677109,0.985374,,,10.331458,,1.955257,1.3209,,0.973864,,660.545219,,6.804933,3081.003981,588.706188,,0.965816,95.43055,22.171095,172.60926,6.461532,49.366508,117.282562,17.890091,,27.673734,0.865426,2.10238,,0.781134,,,4.783211,,,8962.267763,7.485937,,7.835223,23.754219,6.427088,76.082215,277.72566,13805.365296,3.657724,,70.494158,1157.074859,,118.329727,,126.74167,0.702813,108.191259,100.077888,,3892.687148,,,1118.303765,0.301861,0.809,369.874513,8269.061359,1460.493293,177.862397,,13.659022,1.349459,9.179576,16.704457,3501.254868,53.157075,1503.331891,,7.832886,,,32.964085,15.061878,710.610125,19.215058,4.087062,,13.659022,359.53267,31.774989,8.459455,110.324535,1.472523,0.383557,0.969883,3.32315,3.271744,52.187797,139.506707,3.723064,5836.347815,3.480138,4.037473,102.397231,66.668109,873.820857,3.746949,,12.773691,47.169191,8.863003,1.352575,,,538.900909,,,,,8.468196,,13.684985,31.885764,,,2.963825,,5.470619,6.583211,29.676331,2288.273561,27.642579,3659.195327,1.0,31.717871,8235.569191,62.025097,,22654.262224,,,567.684985,,,,,567.684985,,103.210731,,,13.85331,11.780182,
2019-01-11,3.67046,75.16073,106.57689,,,,37.347524,1.391051,,,1.69053,1.95152,82.502172,1.692963,0.37437,1772.371851,0.999044,0.656473,6.747871,3.706516,0.995569,,,10.39444,,1.975673,1.323545,,0.983753,,666.081668,,6.778888,3097.828063,594.856646,,0.975673,95.803649,22.205995,174.413553,6.484709,49.438749,117.454387,17.900956,,27.719374,0.86881,2.102867,,0.78384,,,4.832667,,,9057.167507,7.566725,,7.836229,24.001738,6.45152,77.209383,278.800174,14059.079062,3.669157,,70.353606,1169.157255,,119.322328,,127.263249,0.702954,108.2702,100.052129,,3964.552737,,,1116.07298,0.301825,0.817376,373.301477,8352.650217,1508.253692,179.31364,,13.719374,1.363076,9.206777,16.867941,3539.617811,53.172024,1513.466551,,7.91364,,,32.988705,15.232841,714.578627,19.1245,4.090269,,13.719374,362.754127,32.105126,8.472632,111.025195,1.473414,0.383666,0.97993,3.344744,3.3053,52.10252,139.930495,3.731885,5882.623719,3.516768,4.058645,102.806255,66.888792,882.710686,3.746655,,12.774109,47.655083,8.894005,1.35152,,,544.743701,,,,,8.556038,,13.746308,31.878367,,,2.995135,,5.422937,6.652824,29.981755,2296.17715,28.052997,3687.141529,1.0,32.068636,8318.158297,62.267593,,22888.792354,,,569.904431,,,,,569.904431,,103.614248,,,13.850565,11.901825,
2019-01-12,3.67046,75.16073,106.57689,,,,37.347524,1.391051,,,1.69053,1.95152,82.502172,1.692963,0.37437,1772.371851,0.999044,0.656473,6.747871,3.706516,0.995569,,,10.39444,,1.975673,1.323545,,0.983753,,666.081668,,6.778888,3097.828063,594.856646,,0.975673,95.803649,22.205995,174.413553,6.484709,49.438749,117.454387,17.900956,,27.719374,0.86881,2.102867,,0.78384,,,4.832667,,,9057.167507,7.566725,,7.836229,24.001738,6.45152,77.209383,278.800174,14059.079062,3.669157,,70.353606,1169.157255,,119.322328,,127.263249,0.702954,108.2702,100.052129,,3964.552737,,,1116.07298,0.301825,0.817376,373.301477,8352.650217,1508.253692,179.31364,,13.719374,1.363076,9.206777,16.867941,3539.617811,53.172024,1513.466551,,7.91364,,,32.988705,15.232841,714.578627,19.1245,4.090269,,13.719374,362.754127,32.105126,8.472632,111.025195,1.473414,0.383666,0.97993,3.344744,3.3053,52.10252,139.930495,3.731885,5882.623719,3.516768,4.058645,102.806255,66.888792,882.710686,3.746655,,12.774109,47.655083,8.894005,1.35152,,,544.743701,,,,,8.556038,,13.746308,31.878367,,,2.995135,,5.422937,6.652824,29.981755,2296.17715,28.052997,3687.141529,1.0,32.068636,8318.158297,62.267593,,22888.792354,,,569.904431,,,,,569.904431,,103.614248,,,13.850565,11.901825,
2019-01-13,3.67046,75.16073,106.57689,,,,37.347524,1.391051,,,1.69053,1.95152,82.502172,1.692963,0.37437,1772.371851,0.999044,0.656473,6.747871,3.706516,0.995569,,,10.39444,,1.975673,1.323545,,0.983753,,666.081668,,6.778888,3097.828063,594.856646,,0.975673,95.803649,22.205995,174.413553,6.484709,49.438749,117.454387,17.900956,,27.719374,0.86881,2.102867,,0.78384,,,4.832667,,,9057.167507,7.566725,,7.836229,24.001738,6.45152,77.209383,278.800174,14059.079062,3.669157,,70.353606,1169.157255,,119.322328,,127.263249,0.702954,108.2702,100.052129,,3964.552737,,,1116.07298,0.301825,0.817376,373.301477,8352.650217,1508.253692,179.31364,,13.719374,1.363076,9.206777,16.867941,3539.617811,53.172024,1513.466551,,7.91364,,,32.988705,15.232841,714.578627,19.1245,4.090269,,13.719374,362.754127,32.105126,8.472632,111.025195,1.473414,0.383666,0.97993,3.344744,3.3053,52.10252,139.930495,3.731885,5882.623719,3.516768,4.058645,102.806255,66.888792,882.710686,3.746655,,12.774109,47.655083,8.894005,1.35152,,,544.743701,,,,,8.556038,,13.746308,31.878367,,,2.995135,,5.422937,6.652824,29.981755,2296.17715,28.052997,3687.141529,1.0,32.068636,8318.158297,62.267593,,22888.792354,,,569.904431,,,,,569.904431,,103.614248,,,13.850565,11.901825,
2019-01-14,3.674171,75.506108,107.530541,,,,36.931065,1.387784,,,1.697906,1.960471,82.675393,1.699913,0.374782,1780.715532,1.003665,0.657068,6.778883,3.711082,1.000175,,,10.408377,,1.984729,1.326702,,0.984031,,665.732984,,6.760209,3113.699825,597.338569,,0.97993,96.22164,22.296073,175.21815,6.512914,49.696335,117.547993,17.914485,,28.19808,0.8726,2.105148,,0.778185,,,5.004538,,,9098.778534,7.601571,,7.838743,24.111693,6.484293,77.354276,280.014834,14120.418848,3.67452,,70.390052,1174.52007,,120.340314,,128.089005,0.703141,108.455497,100.104712,,3952.966928,,,1118.237347,0.302007,0.821117,376.527051,8393.106457,1482.809773,180.034904,,13.702443,1.363438,9.23822,16.935428,3563.874346,53.22164,1516.928447,,7.952618,,,32.827225,15.300175,715.209424,19.139005,4.09808,,13.702443,363.917976,32.253054,8.539616,111.937173,1.465881,0.383944,0.984468,3.342932,3.320506,52.084642,140.052356,3.743106,5946.422426,3.532984,4.084555,103.237347,66.906719,886.910995,3.751483,,12.78534,47.866492,8.935777,1.352967,,,547.207679,,,,,8.595986,,13.728621,31.911867,,,3.008639,,5.47644,6.683421,30.053229,2298.429319,27.992147,3694.06623,1.0,32.296684,8358.900349,62.539267,,22995.636998,,,572.390925,,,,,572.390925,,104.066318,,,13.862304,11.95637,
2019-01-15,3.670531,74.88887,107.094919,,,,36.970278,1.388564,,,1.695982,1.947529,82.336791,1.698074,0.374357,1769.197246,0.997124,0.656411,6.734071,3.69511,0.993637,,,10.373921,,1.971673,1.327639,,0.980999,,665.161684,,6.758476,3094.831343,592.66103,,0.97359,96.112612,22.25146,174.060838,6.505622,49.651355,117.772161,17.88547,,28.14521,0.871612,2.0998,,0.776519,,,4.877103,,,9039.484006,7.551382,,7.841802,23.952759,6.479997,76.779395,280.152532,14123.594526,3.658241,,70.690316,1166.826462,,120.413144,,128.266365,0.702955,108.242831,100.043581,,3927.91772,,,1121.58982,0.302013,0.815654,376.579796,8339.579883,1508.759697,179.159766,,13.68866,1.357186,9.257387,16.859583,3545.628781,53.251111,1500.479386,,7.902641,,,32.790029,15.179988,714.965571,18.983875,4.097098,,13.68866,361.047677,32.196461,8.544409,111.975944,1.464046,0.383596,0.977948,3.343415,3.299224,52.058747,139.876231,3.738604,5904.732851,3.509631,4.075133,103.068073,67.018217,881.112176,3.746274,,12.771725,47.563846,8.942822,1.353177,,,543.537,,,,,8.538307,,13.714809,31.875708,,,2.997385,,5.460385,6.645603,29.998257,2295.999303,27.764316,3659.89715,1.0,32.2444,8311.688312,62.468404,,22845.811906,,,571.742352,,,,,571.742352,,103.948401,,,13.778698,11.828641,
2019-01-16,3.669178,74.993431,106.998336,,,,37.10607,1.386616,,,1.704301,1.950425,82.456863,1.706578,0.374179,1771.831479,0.998686,0.654463,6.748796,3.71341,0.995183,,,10.366997,,1.974512,1.325567,,0.987212,,663.3091,,6.748971,3099.851187,590.514146,,0.974862,96.584041,22.355522,174.310239,6.537094,49.844968,117.973198,17.889113,,28.167645,0.875887,2.107822,,0.776561,,,4.964527,,,9055.005343,7.567312,,7.840501,23.987913,6.50381,77.496715,282.74065,14082.50854,3.671104,,71.030919,1168.520627,,120.995007,,127.826925,0.702724,108.59245,100.0,,3931.593413,,,1122.098625,0.301918,0.81694,376.543751,8351.143032,1507.401244,179.416659,,13.629675,1.358588,9.265131,16.908995,3615.923447,53.489533,1501.182447,,7.913638,,,32.889551,15.337654,713.418586,18.966016,4.094421,,13.629675,360.593851,32.099501,8.535079,112.314969,1.465183,0.383463,0.979417,3.327844,3.303407,51.903302,138.381361,3.758343,5918.104756,3.514321,4.093019,103.599895,67.066655,882.543575,3.746781,,12.762547,47.636857,8.960498,1.354647,,,544.188491,,,,,8.551283,,13.650696,31.854252,,,3.000876,,5.440571,6.66944,29.993869,2294.385565,27.937287,3658.403959,1.0,32.321976,8326.793553,62.774809,,22883.419462,,,574.546729,,,,,574.546729,,104.458264,,,13.72865,11.877025,
2019-01-17,3.671434,74.741183,106.641516,,,,37.472364,1.394016,,,1.707142,1.95429,82.200386,1.709598,0.374452,1766.36252,0.995701,0.656519,6.727584,3.732146,0.992104,,,10.323741,,1.962625,1.325671,,0.989998,,661.484471,,6.748903,3091.945955,588.427794,,0.9721,96.745043,22.386998,173.767328,6.548166,49.690297,118.10844,17.905773,,27.99263,0.877347,2.105984,,0.776013,,,4.858572,,,9027.723987,7.543604,,7.842341,23.912967,6.513423,77.369714,281.652922,14124.407791,3.683278,,70.909809,1164.853483,,121.196701,,128.505001,0.703106,109.033164,100.061414,,3926.829093,,,1118.090893,0.302158,0.814441,374.793823,8326.812072,1509.036673,178.961221,,13.509388,1.354097,9.281453,16.89156,3609.75601,53.632216,1504.035796,,7.890068,,,33.014564,15.380769,715.151781,18.879979,4.107124,,13.509388,359.738551,32.000351,8.535883,112.300404,1.476224,0.383752,0.976399,3.334006,3.293736,52.05036,139.928058,3.755396,5919.459554,3.503071,4.108791,103.728724,66.346727,880.066678,3.747149,,12.769784,47.492543,8.988858,1.354273,,,542.375855,,,,,8.52518,,13.530444,31.643271,,,2.996666,,5.335322,6.65064,29.921916,2301.456396,27.724162,3654.149851,1.0,32.081944,8301.456396,62.879453,,22807.510089,,,575.504474,,,,,575.504474,,104.632392,,,13.684506,11.840674,
2019-01-18,3.670499,74.993417,106.495216,,,,37.676644,1.390591,,,1.707891,1.958834,82.393575,1.710348,0.374353,1770.82419,0.997981,0.65549,6.738436,3.746423,0.99447,,,10.38708,,1.972966,1.327833,,0.993768,,656.947248,,6.766699,3075.484859,587.562538,,0.974282,96.787501,22.397086,174.177126,6.551216,49.827087,118.10761,17.865356,,28.006671,0.877732,2.104275,,0.769946,,,4.86992,,,9048.80172,7.55894,,7.841833,23.969104,6.516194,77.574827,280.181691,14169.226718,3.685509,,70.966383,1167.559027,,120.635478,,128.447292,0.702888,109.144211,100.035109,,3926.533837,,,1120.161503,0.302028,0.816291,375.765821,8347.055034,1507.065742,178.636005,,13.519705,1.360397,9.282015,16.931449,3612.217941,53.668042,1523.567103,,7.908365,,,32.783288,15.365575,714.122707,19.00395,4.106908,,13.519705,360.326516,32.134644,8.546037,112.086369,1.478364,0.383657,0.978671,3.327745,3.300887,52.313701,138.5061,3.762047,5937.505574,3.511454,4.114544,103.739138,66.373212,882.296147,3.745984,,12.765733,47.602036,9.014219,1.35513,,,543.754937,,,,,8.54472,,13.546037,31.685245,,,2.999737,,5.351971,6.66576,29.991223,2300.974282,27.789871,3677.696831,1.0,32.177653,8320.723076,62.907048,,22860.528395,,,575.757044,,,,,575.757044,,104.678311,,,13.714298,11.862547,
2019-01-19,3.670499,74.993417,106.495216,,,,37.676644,1.390591,,,1.707891,1.958834,82.393575,1.710348,0.374353,1770.82419,0.997981,0.65549,6.738436,3.746423,0.99447,,,10.38708,,1.972966,1.327833,,0.993768,,656.947248,,6.766699,3075.484859,587.562538,,0.974282,96.787501,22.397086,174.177126,6.551216,49.827087,118.10761,17.865356,,28.006671,0.877732,2.104275,,0.769946,,,4.86992,,,9048.80172,7.55894,,7.841833,23.969104,6.516194,77.574827,280.181691,14169.226718,3.685509,,70.966383,1167.559027,,120.635478,,128.447292,0.702888,109.144211,100.035109,,3926.533837,,,1120.161503,0.302028,0.816291,375.765821,8347.055034,1507.065742,178.636005,,13.519705,1.360397,9.282015,16.931449,3612.217941,53.668042,1523.567103,,7.908365,,,32.783288,15.365575,714.122707,19.00395,4.106908,,13.519705,360.326516,32.134644,8.546037,112.086369,1.478364,0.383657,0.978671,3.327745,3.300887,52.313701,138.5061,3.762047,5937.505574,3.511454,4.114544,103.739138,66.373212,882.296147,3.745984,,12.765733,47.602036,9.014219,1.35513,,,543.754937,,,,,8.54472,,13.546037,31.685245,,,2.999737,,5.351971,6.66576,29.991223,2300.974282,27.789871,3677.696831,1.0,32.177653,8320.723076,62.907048,,22860.528395,,,575.757044,,,,,575.757044,,104.678311,,,13.714298,11.862547,
